name,vehicleModelDate,value_mileage,model,bodyType,fuelType,seatingCapacity,color,price,addressLocality,addressRegion,transmision
Suzuki,2020,7500,Jimny,SUV,Petrol,4,Kuning,400000000,Jakarta Pusat,Jabodetabek,AT
Toyota,2013,170000,Kijang Innova,MPV,Diesel,8,Abu-abu,244500000,Malang,Jawa - Bali,AT
Honda,2022,52500,BR-V,SUV,Petrol,7,Abu-abu,219000000,Jakarta Selatan,Jabodetabek,AT
Honda,2022,52500,BR-V,SUV,Petrol,7,Abu-abu,219000000,Jakarta Pusat,Jabodetabek,AT
Honda,2022,52500,BR-V,SUV,Petrol,7,Abu-abu,219000000,Jakarta Timur,Jabodetabek,AT
Mercedes-Benz,2020,17500,CLA200,Coupe,Petrol,5,Hitam,656000000,Jakarta Timur,Jabodetabek,AT
Mercedes-Benz,2020,17500,CLA200,Coupe,Petrol,5,Hitam,656000000,Jakarta Pusat,Jabodetabek,AT
Mitsubishi,2014,67500,Outlander Sport,SUV,Petrol,5,Orange,163000000,Jakarta Barat,Jabodetabek,AT
Hyundai,2023,37500,Palisade,SUV,Diesel,7,Hitam,873000000,Jakarta Selatan,Jabodetabek,AT
Hyundai,2023,37500,Palisade,SUV,Diesel,7,Hitam,873000000,Jakarta Selatan,Jabodetabek,AT
Honda,2023,34550,WR-V,SUV,Petrol,5,Abu-abu,240000000,Tangerang,Jabodetabek,AT
Hyundai,2023,37500,Palisade,SUV,Diesel,7,Hitam,873000000,Bekasi,Jabodetabek,AT
KIA,2021,62500,Seltos,SUV,Petrol,5,Abu-abu,239000000,Bekasi,Jabodetabek,AT
KIA,2021,62500,Seltos,SUV,Petrol,5,Abu-abu,239000000,Tangerang,Jabodetabek,AT
KIA,2021,62500,Seltos,SUV,Petrol,5,Abu-abu,239000000,Depok,Jabodetabek,AT
Toyota,2011,72500,Land Cruiser,SUV,Diesel,8,Hitam,811000000,Tangerang,Jabodetabek,AT
Toyota,2011,72500,Land Cruiser,SUV,Diesel,8,Hitam,811000000,Tangerang,Jabodetabek,AT
Toyota,2011,72500,Land Cruiser,SUV,Diesel,8,Hitam,811000000,Jakarta Selatan,Jabodetabek,AT
Honda,2023,5172,Brio,Hatchback,Petrol,5,Abu-abu,184000000,Tangerang,Jabodetabek,AT
Wuling,2020,103000,Almaz,SUV,Petrol,5,Hitam,165000000,Tangerang,Jabodetabek,AT
KIA,2021,62500,Seltos,SUV,Petrol,5,Abu-abu,239000000,Jakarta Pusat,Jabodetabek,AT
KIA,2021,62500,Seltos,SUV,Petrol,5,Abu-abu,239000000,Jakarta Timur,Jabodetabek,AT
Mitsubishi,2014,67500,Outlander Sport,SUV,Petrol,5,Orange,163000000,Jakarta Selatan,Jabodetabek,AT
Mitsubishi,2014,67500,Outlander Sport,SUV,Petrol,5,Orange,163000000,Jakarta Timur,Jabodetabek,AT
Hyundai,2023,12500,Palisade,SUV,Diesel,7,Hitam,809000000,Jakarta Utara,Jabodetabek,AT
Hyundai,2023,12500,Palisade,SUV,Diesel,7,Hitam,809000000,Jakarta Selatan,Jabodetabek,AT
Mercedes-Benz,2020,17500,CLA200,Coupe,Petrol,5,Hitam,656000000,Jakarta Barat,Jabodetabek,AT
Mercedes-Benz,2020,17500,CLA200,Coupe,Petrol,5,Hitam,656000000,Jakarta Utara,Jabodetabek,AT
Honda,2022,52500,BR-V,SUV,Petrol,7,Abu-abu,219000000,Jakarta Utara,Jabodetabek,AT
Honda,2022,52500,BR-V,SUV,Petrol,7,Abu-abu,219000000,Jakarta Selatan,Jabodetabek,AT
Suzuki,2020,7500,Jimny,SUV,Petrol,4,Kuning,400000000,Jakarta Utara,Jabodetabek,AT
Suzuki,2020,7500,Jimny,SUV,Petrol,4,Kuning,400000000,Jakarta Selatan,Jabodetabek,AT
Chevrolet,2017,92500,Trailblazer,SUV,Diesel,7,Hitam,250000000,Jakarta Pusat,Jabodetabek,AT
Chevrolet,2017,92500,Trailblazer,SUV,Diesel,7,Hitam,250000000,Jakarta Timur,Jabodetabek,AT
Toyota,2024,10000,Alphard,MPV,Hybrid,7,Putih,1480000000,Jakarta Selatan,Jabodetabek,AT
Honda,2015,52500,HR-V,SUV,Petrol,5,Merah,206000000,Jakarta Selatan,Jabodetabek,AT
Honda,2015,52500,HR-V,SUV,Petrol,5,Merah,206000000,Jakarta Timur,Jabodetabek,AT
Suzuki,2023,12500,Baleno,Hatchback,Petrol,5,Merah,214000000,Jakarta Utara,Jabodetabek,AT
Suzuki,2023,12500,Baleno,Hatchback,Petrol,5,Merah,214000000,Jakarta Utara,Jabodetabek,AT
Hyundai,2023,37500,Palisade,SUV,Diesel,7,Hitam,873000000,Jakarta Selatan,Jabodetabek,AT
Hyundai,2023,37500,Palisade,SUV,Diesel,7,Hitam,873000000,Jakarta Pusat,Jabodetabek,AT
MG,2022,32500,5,Sedan,Petrol,5,Putih,233000000,Jakarta Utara,Jabodetabek,AT
MG,2022,32500,5,Sedan,Petrol,5,Putih,233000000,Jakarta Selatan,Jabodetabek,AT
MG,2022,32500,5,Sedan,Petrol,5,Putih,233000000,Bekasi,Jabodetabek,AT
Honda,2018,89000,Civic,Sedan,Petrol,5,Hitam,305000000,Tangerang,Jabodetabek,AT
Land Rover,2015,7500,Defender,SUV,Diesel,5,Putih,2350000000,Jakarta Utara,Jabodetabek,MT
Land Rover,2015,7500,Defender,SUV,Diesel,5,Putih,2350000000,Jakarta Utara,Jabodetabek,MT
Nissan,2018,62500,X-Trail,SUV,Petrol,7,Silver,202000000,Jakarta Timur,Jabodetabek,AT
Nissan,2018,62500,X-Trail,SUV,Petrol,7,Silver,202000000,Jakarta Selatan,Jabodetabek,AT
Chery,2022,2500,Tiggo 7 Pro,SUV,Petrol,5,Putih,274000000,Tangerang,Jabodetabek,AT
Chery,2022,2500,Tiggo 7 Pro,SUV,Petrol,5,Putih,274000000,Tangerang,Jabodetabek,AT
KIA,2022,62500,Seltos,SUV,Petrol,5,Abu-abu,239000000,Jakarta Barat,Jabodetabek,AT
Hyundai,2023,12500,Palisade,SUV,Diesel,7,Hitam,809000000,Jakarta Selatan,Jabodetabek,AT
Hyundai,2023,12500,Palisade,SUV,Diesel,7,Hitam,809000000,Jakarta Utara,Jabodetabek,AT
Toyota,2019,27500,Avanza,MPV,Petrol,7,Hitam,159000000,Jakarta Timur,Jabodetabek,MT
Toyota,2019,27500,Avanza,MPV,Petrol,7,Hitam,159000000,Bekasi,Jabodetabek,MT
Honda,2024,12500,Brio,Hatchback,Petrol,5,Hitam,199000000,Jakarta Pusat,Jabodetabek,AT
Nissan,2018,62500,X-Trail,SUV,Petrol,7,Silver,202000000,Jakarta Pusat,Jabodetabek,AT
Nissan,2018,62500,X-Trail,SUV,Petrol,7,Silver,202000000,Jakarta Utara,Jabodetabek,AT
Honda,2022,52500,BR-V,SUV,Petrol,7,Abu-abu,219000000,Jakarta Barat,Jabodetabek,AT
Honda,2022,52500,BR-V,SUV,Petrol,7,Abu-abu,219000000,Jakarta Utara,Jabodetabek,AT
Honda,2022,52500,BR-V,SUV,Petrol,7,Abu-abu,219000000,Jakarta Pusat,Jabodetabek,AT
Hyundai,2023,12500,Palisade,SUV,Diesel,7,Hitam,809000000,Jakarta Selatan,Jabodetabek,AT
Hyundai,2023,12500,Palisade,SUV,Diesel,7,Hitam,809000000,Jakarta Selatan,Jabodetabek,AT
Mitsubishi,2023,12500,Xpander Cross,MPV,Petrol,7,Putih,285000000,Jakarta Selatan,Jabodetabek,AT
Mazda,2019,27500,6,Wagon,Petrol,5,Abu-abu,364000000,Jakarta Timur,Jabodetabek,AT
Mazda,2019,27500,6,Wagon,Petrol,5,Abu-abu,364000000,Jakarta Barat,Jabodetabek,AT
Honda,2015,52500,HR-V,SUV,Petrol,5,Merah,206000000,Jakarta Barat,Jabodetabek,AT
KIA,2021,62500,Seltos,SUV,Petrol,5,Abu-abu,239000000,Jakarta Utara,Jabodetabek,AT
KIA,2021,62500,Seltos,SUV,Petrol,5,Abu-abu,239000000,Jakarta Barat,Jabodetabek,AT
Mazda,2019,27500,6,Sedan,Petrol,5,Abu-abu,364000000,Jakarta Pusat,Jabodetabek,AT
Mazda,2019,27500,6,Sedan,Petrol,5,Abu-abu,364000000,Jakarta Barat,Jabodetabek,AT
Mazda,2021,37500,CX-3,SUV,Petrol,5,Abu-abu,255000000,Jakarta Utara,Jabodetabek,AT
Mazda,2021,37500,CX-3,SUV,Petrol,5,Abu-abu,255000000,Jakarta Utara,Jabodetabek,AT
Toyota,2013,92500,Alphard,MPV,Petrol,7,Putih,280000000,Semarang,Jawa - Bali,AT
Toyota,2017,42500,Sienta,MPV,Petrol,7,Putih,170000000,Semarang,Jawa - Bali,AT
Toyota,2017,42500,Sienta,MPV,Petrol,7,Putih,170000000,Malang,Jawa - Bali,AT
MG,2022,32500,5,Sedan,Petrol,5,Putih,233000000,Jakarta Pusat,Jabodetabek,AT
MG,2022,32500,5,Sedan,Petrol,5,Putih,233000000,Jakarta Utara,Jabodetabek,AT
Honda,2022,52500,BR-V,SUV,Petrol,7,Abu-abu,219000000,Jakarta Pusat,Jabodetabek,AT
Honda,2022,52500,BR-V,SUV,Petrol,7,Abu-abu,219000000,Jakarta Pusat,Jabodetabek,AT
Volkswagen,2021,12500,Tiguan,SUV,Petrol,5,Hitam,388000000,Jakarta Selatan,Jabodetabek,AT
KIA,2021,62500,Seltos,SUV,Petrol,5,Abu-abu,239000000,Jakarta Barat,Jabodetabek,AT
KIA,2021,62500,Seltos,SUV,Petrol,5,Abu-abu,239000000,Jakarta Selatan,Jabodetabek,AT
Honda,2008,102500,City,Sedan,Petrol,5,Hitam,102000000,Jakarta Barat,Jabodetabek,MT
Toyota,2023,83000,Hiace,Van,Diesel,16,Putih,460000000,Tangerang,Jabodetabek,MT
Toyota,2015,92500,Corolla Altis,Sedan,Petrol,5,Putih,173000000,Jakarta Selatan,Jabodetabek,AT
Honda,2015,97500,HR-V,SUV,Petrol,5,Merah,198000000,Semarang,Jawa - Bali,AT
Honda,2024,12500,Brio,Hatchback,Petrol,5,Abu-abu,175000000,Semarang,Jawa - Bali,AT
Honda,2018,27500,BR-V,SUV,Petrol,7,Hitam,168000000,Jakarta Timur,Jabodetabek,AT
Toyota,2013,82500,Avanza,MPV,Petrol,7,Hitam,112000000,Jakarta Timur,Jabodetabek,AT
Mitsubishi,2018,42500,Xpander,MPV,Petrol,7,Putih,205000000,Semarang,Jawa - Bali,AT
Toyota,2024,7500,Alphard,MPV,Hybrid,7,Putih,1480000000,Jakarta Selatan,Jabodetabek,AT
Toyota,2016,57500,Agya,Hatchback,Petrol,5,Abu-abu,90900000,Tangerang,Jabodetabek,MT
MG,2022,32500,5,Sedan,Petrol,5,Putih,233000000,Jakarta Selatan,Jabodetabek,AT
MG,2022,32500,5,Sedan,Petrol,5,Putih,233000000,Jakarta Barat,Jabodetabek,AT
Mercedes-Benz,2020,17500,CLA200,Coupe,Petrol,5,Hitam,656000000,Jakarta Selatan,Jabodetabek,AT
Mercedes-Benz,2020,17500,CLA200,Coupe,Petrol,5,Hitam,656000000,Jakarta Selatan,Jabodetabek,AT
Mercedes-Benz,2020,17500,CLA200,Coupe,Petrol,5,Hitam,656000000,Tangerang,Jabodetabek,AT
Suzuki,2020,7500,Jimny,SUV,Petrol,4,Kuning,400000000,Jakarta Selatan,Jabodetabek,AT
Suzuki,2020,7500,Jimny,SUV,Petrol,4,Kuning,400000000,Depok,Jabodetabek,AT
Honda,2018,67500,Mobilio,MPV,Petrol,7,Hitam,149000000,Jakarta Selatan,Jabodetabek,AT
Suzuki,2020,7500,Jimny,SUV,Petrol,4,Kuning,400000000,Depok,Jabodetabek,AT
Chevrolet,2017,92500,Trailblazer,SUV,Diesel,7,Hitam,250000000,Jakarta Selatan,Jabodetabek,AT
Chevrolet,2017,92500,Trailblazer,SUV,Diesel,7,Hitam,250000000,Jakarta Barat,Jabodetabek,AT
Chevrolet,2017,92500,Trailblazer,SUV,Diesel,7,Hitam,250000000,Jakarta Timur,Jabodetabek,AT
Toyota,2012,139000,Alphard,MPV,Petrol,7,Hitam,235000000,Bekasi,Jabodetabek,AT
Toyota,2011,72500,Land Cruiser,SUV,Diesel,8,Hitam,811000000,Jakarta Selatan,Jabodetabek,AT
Toyota,2011,72500,Land Cruiser,SUV,Diesel,8,Hitam,811000000,Jakarta Barat,Jabodetabek,AT
Toyota,2021,12500,Fortuner,SUV,Diesel,7,Hitam,452000000,Tangerang,Jabodetabek,AT
Toyota,2022,27500,Raize,SUV,Petrol,5,Abu-abu,199000000,Tangerang,Jabodetabek,AT
Nissan,2018,72500,X-Trail,SUV,Petrol,7,Hitam,199900000,Jakarta Selatan,Jabodetabek,AT
Honda,2022,22500,Brio,Hatchback,Petrol,5,Emas,156000000,Tangerang,Jabodetabek,AT
Honda,2022,52500,BR-V,SUV,Petrol,7,Abu-abu,219000000,Depok,Jabodetabek,AT
Honda,2022,52500,BR-V,SUV,Petrol,7,Abu-abu,219000000,Jakarta Barat,Jabodetabek,AT
KIA,2021,62500,Seltos,SUV,Petrol,5,Abu-abu,239000000,Bekasi,Jabodetabek,AT
KIA,2021,62500,Seltos,SUV,Petrol,5,Abu-abu,239000000,Jakarta Barat,Jabodetabek,AT
Honda,2022,22500,Brio,Hatchback,Petrol,5,Abu-abu,156000000,Tangerang,Jabodetabek,AT
Toyota,2019,52500,Kijang Innova,MPV,Petrol,8,Putih,244900000,Jakarta Utara,Jabodetabek,AT
Honda,2022,22500,Brio,Hatchback,Petrol,5,Abu-abu,155900000,Tangerang,Jabodetabek,AT
Hyundai,2023,37500,Palisade,SUV,Diesel,7,Hitam,873000000,Jakarta Utara,Jabodetabek,AT
Mazda,2019,27500,6,Sedan,Petrol,5,Abu-abu,364000000,Jakarta Selatan,Jabodetabek,AT
Nissan,2018,62500,X-Trail,SUV,Petrol,7,Silver,202000000,Jakarta Utara,Jabodetabek,AT
MG,2022,32500,5,Sedan,Petrol,5,Putih,233000000,Jakarta Pusat,Jabodetabek,AT
Hyundai,2023,12500,Palisade,SUV,Diesel,7,Hitam,809000000,Jakarta Selatan,Jabodetabek,AT
Honda,2019,62500,CR-V,SUV,Petrol,5,Abu-abu,352900000,Jakarta Selatan,Jabodetabek,AT
KIA,2021,57500,Seltos,SUV,Petrol,5,Abu-abu,239000000,Jakarta Timur,Jabodetabek,AT
Honda,2023,17500,WR-V,SUV,Petrol,5,Putih,245000000,Tangerang,Jabodetabek,AT
Honda,2023,17500,WR-V,SUV,Petrol,5,Putih,246000000,Tangerang,Jabodetabek,AT
Honda,2023,17500,WR-V,SUV,Petrol,5,Putih,247000000,Tangerang,Jabodetabek,AT
Honda,2018,57500,Mobilio,MPV,Petrol,7,Hitam,148000000,Bekasi,Jabodetabek,AT
Honda,2022,52500,BR-V,SUV,Petrol,7,Abu-abu,219000000,Jakarta Timur,Jabodetabek,AT
Toyota,2018,42500,Vios,Sedan,Petrol,5,Abu-abu,170000000,Tangerang,Jabodetabek,AT
Suzuki,2018,27500,Karimun Wagon R,Hatchback,Petrol,5,Silver,86900000,Tangerang,Jabodetabek,MT
Daihatsu,2020,7500,Sigra,MPV,Petrol,7,Abu-abu,120000000,Tangerang,Jabodetabek,MT
BMW,2020,22500,X5,SUV,Petrol,5,Biru,850000000,Jakarta Utara,Jabodetabek,AT
Daihatsu,2021,47500,Terios,SUV,Petrol,7,Hitam,197900000,Serang,Jawa - Bali,AT
Daihatsu,2017,122500,Gran Max,Van,Petrol,9,Putih,109000000,Tangerang,Jabodetabek,MT
Honda,2018,57500,Mobilio,MPV,Petrol,7,Hitam,149000000,Bekasi,Jabodetabek,AT
Honda,2018,57500,Mobilio,MPV,Petrol,7,Hitam,150000000,Bekasi,Jabodetabek,AT
Honda,2018,67500,HR-V,SUV,Petrol,5,Silver,199000000,Depok,Jabodetabek,AT
Honda,2018,67500,HR-V,SUV,Petrol,5,Silver,198000000,Depok,Jabodetabek,AT
Honda,2018,67500,HR-V,SUV,Petrol,5,Silver,197000000,Depok,Jabodetabek,AT
Hyundai,2022,27500,Stargazer,MPV,Petrol,7,Hitam,216000000,Jakarta Selatan,Jabodetabek,AT
Honda,2022,17500,BR-V,SUV,Petrol,7,Hitam,247000000,Jakarta Timur,Jabodetabek,AT
Honda,2022,22500,City,Hatchback,Petrol,5,Merah,229000000,Jakarta Timur,Jabodetabek,AT
Mitsubishi,2023,12500,Xpander Cross,MPV,Petrol,7,Putih,285000000,Jakarta Utara,Jabodetabek,AT
Suzuki,2023,12500,Baleno,Hatchback,Petrol,5,Merah,214000000,Jakarta Utara,Jabodetabek,AT
Toyota,2020,57500,Voxy,MPV,Petrol,7,Hitam,345000000,Jakarta Timur,Jabodetabek,AT
Hyundai,2022,12500,Creta,SUV,Petrol,5,Hitam,222000000,Jakarta Timur,Jabodetabek,AT
Chery,2022,2500,Tiggo 7 Pro,SUV,Petrol,5,Putih,274000000,Tangerang,Jabodetabek,AT
Nissan,2018,62500,X-Trail,SUV,Petrol,7,Silver,202000000,Jakarta Selatan,Jabodetabek,AT
Nissan,2018,62500,X-Trail,SUV,Petrol,7,Silver,202000000,Jakarta Pusat,Jabodetabek,AT
Toyota,2019,40000,Sienta,MPV,Petrol,7,Putih,200000000,Bandung,Jawa - Bali,AT
Mitsubishi,2023,35000,Xpander Cross,MPV,Petrol,7,Hitam,290000000,Bandung,Jawa - Bali,AT
Toyota,2016,42500,Rush,SUV,Petrol,7,Putih,180000000,Surabaya,Jawa - Bali,MT
Daihatsu,2021,97500,Gran Max,Van,Petrol,9,Silver,124000000,Jakarta Timur,Jabodetabek,MT
Toyota,2020,73000,Rush,SUV,Petrol,7,Silver,215000000,Bandung,Jawa - Bali,AT
Honda,2019,66000,Brio,Hatchback,Petrol,5,Putih,140000000,Bandung,Jawa - Bali,AT
Mazda,2019,27500,6,Sedan,Petrol,5,Abu-abu,364000000,Depok,Jabodetabek,AT
Mazda,2019,27500,6,Sedan,Petrol,5,Abu-abu,364000000,Jakarta Barat,Jabodetabek,AT
Wuling,2018,32500,Cortez,MPV,Petrol,7,Hitam,136000000,Jakarta Timur,Jabodetabek,AT
Wuling,2018,32500,Cortez,MPV,Petrol,7,Hitam,136000000,Jakarta Pusat,Jabodetabek,AT
Toyota,2016,142500,Kijang Innova,MPV,Petrol,8,Hitam,196000000,Jakarta Timur,Jabodetabek,MT
Toyota,2017,57500,Avanza,MPV,Petrol,7,Hitam,139000000,Jakarta Pusat,Jabodetabek,AT
Toyota,2019,92500,Fortuner,SUV,Diesel,7,Putih,395000000,Jakarta Selatan,Jabodetabek,AT
Toyota,2020,57500,Voxy,MPV,Petrol,7,Hitam,345000000,Jakarta Utara,Jabodetabek,AT
Hyundai,2022,12500,Creta,SUV,Petrol,5,Hitam,222000000,Jakarta Pusat,Jabodetabek,AT
Mitsubishi,2018,52500,Pajero Sport,SUV,Diesel,7,Putih,385000000,Bekasi,Jabodetabek,AT
Volkswagen,2021,12500,Tiguan,SUV,Petrol,5,Hitam,388000000,Jakarta Timur,Jabodetabek,AT
Volkswagen,2021,12500,Tiguan,SUV,Petrol,5,Hitam,388000000,Jakarta Utara,Jabodetabek,AT
Volkswagen,2021,12500,Tiguan,SUV,Petrol,5,Hitam,388000000,Jakarta Selatan,Jabodetabek,AT
Chery,2022,2500,Tiggo 7 Pro,SUV,Petrol,5,Putih,274000000,Jakarta Timur,Jabodetabek,AT
Chery,2022,2500,Tiggo 7 Pro,SUV,Petrol,5,Putih,274000000,Jakarta Barat,Jabodetabek,AT
Chery,2022,2500,Tiggo 7 Pro,SUV,Petrol,5,Putih,274000000,Tangerang,Jabodetabek,AT
Chevrolet,2019,27500,Spark,Hatchback,Petrol,5,Merah,128000000,Jakarta Pusat,Jabodetabek,AT
Chevrolet,2019,27500,Spark,Hatchback,Petrol,5,Merah,128000000,Jakarta Barat,Jabodetabek,AT
Hyundai,2023,37500,Palisade,SUV,Diesel,7,Hitam,873000000,Jakarta Selatan,Jabodetabek,AT
Hyundai,2023,37500,Palisade,SUV,Diesel,7,Hitam,873000000,Jakarta Barat,Jabodetabek,AT
Honda,2022,12500,HR-V,SUV,Petrol,5,Abu-abu,384000000,Depok,Jabodetabek,AT
Honda,2022,12500,HR-V,SUV,Petrol,5,Abu-abu,384000000,Jakarta Barat,Jabodetabek,AT
Honda,2022,12500,HR-V,SUV,Petrol,5,Abu-abu,384000000,Jakarta Utara,Jabodetabek,AT
Mazda,2021,37500,CX-3,SUV,Petrol,5,Abu-abu,255000000,Jakarta Barat,Jabodetabek,AT
Toyota,2021,57500,Avanza,MPV,Petrol,7,Hitam,161000000,Depok,Jabodetabek,AT
Toyota,2021,57500,Avanza,MPV,Petrol,7,Hitam,160000000,Tangerang,Jabodetabek,AT
Toyota,2021,57500,Avanza,MPV,Petrol,7,Hitam,159000000,Depok,Jabodetabek,AT
Honda,2023,22500,BR-V,SUV,Petrol,7,Putih,250000000,Bogor,Jabodetabek,AT
Honda,2018,82500,BR-V,SUV,Petrol,7,Hitam,159000000,Depok,Jabodetabek,AT
Nissan,2011,11000,Grand Livina,MPV,Petrol,7,Hitam,110000000,Malang,Jawa - Bali,MT
Toyota,2015,19000,Avanza,MPV,Petrol,7,Silver,152000000,Malang,Jawa - Bali,MT
Toyota,2005,8000,Avanza,MPV,Petrol,7,Hitam,110000000,Malang,Jawa - Bali,MT
Honda,2005,5000,Jazz,Hatchback,Petrol,5,Abu-abu,130000000,Malang,Jawa - Bali,MT
